Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
LC-PFN,KDKL,0.1,KDKL_10%,83810,10.108139365911484,0.049327556043863297,0.004778305068612099
MMF4,KDKL,0.1,KDKL_10%,83810,23.402566415054746,0.09936536871744617,0.013235843002939118
WBL4,KDKL,0.1,KDKL_10%,83810,47.48250224768074,0.4949340447514585,0.28799641643238727
POW4,KDKL,0.1,KDKL_10%,83810,10.03986731282407,0.04980437622682782,0.004768314929202542
LC-PFN,KDKL,0.1,KDKL_10%,14592,0.6775177549570799,0.011762918904423714,0.0001691714278422296
MMF4,KDKL,0.1,KDKL_10%,14592,0.9004437017717625,0.015392234824658643,0.0002530186203538994
WBL4,KDKL,0.1,KDKL_10%,14592,0.9769698442077441,0.016686934402741212,0.0002945445582643145
POW4,KDKL,0.1,KDKL_10%,14592,0.8461046628189068,0.014711553603662324,0.0002483561912063967
LC-PFN,KDKL,0.1,KDKL_10%,3278,0.5623214412480593,0.009662698954343796,0.00012269317812751979
MMF4,KDKL,0.1,KDKL_10%,3278,2.5393320576320844,0.04268716456971172,0.0021613588387018024
WBL4,KDKL,0.1,KDKL_10%,3278,2.425559909413694,0.04082874894004703,0.0020094303466896275
POW4,KDKL,0.1,KDKL_10%,3278,3.6177761985968697,0.06528064947583419,0.005005354097918407
LC-PFN,KDKL,0.1,KDKL_10%,97196,2.638215944170952,0.04534812644124031,0.002612537471577525
MMF4,KDKL,0.1,KDKL_10%,97196,1.2356638798418533,0.020401859140802933,0.000527011312711794
WBL4,KDKL,0.1,KDKL_10%,97196,2.2543501141955615,0.036850315730064406,0.0015265685990114453
POW4,KDKL,0.1,KDKL_10%,97196,3.6376771309477895,0.05888613821268117,0.004499255967145789
LC-PFN,KDKL,0.1,KDKL_10%,36048,1.4121560379862785,0.023818572983145714,0.0009030631044879556
MMF4,KDKL,0.1,KDKL_10%,36048,2.0517687671604232,0.03427590918011328,0.001755525022690042
WBL4,KDKL,0.1,KDKL_10%,36048,2.121049249838456,0.03539789421151536,0.0018361309940583324
POW4,KDKL,0.1,KDKL_10%,36048,1.44369493155096,0.024468577144929837,0.000887380855688839
LC-PFN,KDKL,0.1,KDKL_10%,29256,1.7953170463442802,0.02948673628270626,0.0013241579290479422
MMF4,KDKL,0.1,KDKL_10%,29256,6.5902673002897805,0.11582116657316906,0.016465632836992237
WBL4,KDKL,0.1,KDKL_10%,29256,7.675670611284288,0.1365753409014591,0.02231849171749949
POW4,KDKL,0.1,KDKL_10%,29256,3.7121124290928833,0.06305395665558501,0.0054704602814939
LC-PFN,KDKL,0.1,KDKL_10%,32098,3.723500296473503,0.03777655214071274,0.0017358269542455673
MMF4,KDKL,0.1,KDKL_10%,32098,1.3575457387958159,0.013369257373258626,0.0003482395425034443
WBL4,KDKL,0.1,KDKL_10%,32098,1.5314075202837758,0.015102058262725844,0.00041245868964901713
POW4,KDKL,0.1,KDKL_10%,32098,1.5314075020678048,0.01510205808015153,0.00041245868170483265
LC-PFN,KDKL,0.1,KDKL_10%,18289,8.995155990123749,0.11059695482254028,0.013768901117146015
MMF4,KDKL,0.1,KDKL_10%,18289,5.640835235339671,0.06103244298563494,0.005565175876235964
WBL4,KDKL,0.1,KDKL_10%,18289,6.013217200539991,0.06473039569844861,0.006107791661140035
POW4,KDKL,0.1,KDKL_10%,18289,16.00741328234291,0.21851861346964582,0.05422368614003353
LC-PFN,KDKL,0.1,KDKL_10%,96530,0.6628880277276039,0.011746588163077831,0.00020379495981615037
MMF4,KDKL,0.1,KDKL_10%,96530,0.7192247689963811,0.01271816026763101,0.00026808785369537386
WBL4,KDKL,0.1,KDKL_10%,96530,0.9128410079390997,0.016171092915970436,0.0004180735170016099
POW4,KDKL,0.1,KDKL_10%,96530,1.5718277025508516,0.02830849842951198,0.0009874976744163172
LC-PFN,KDKL,0.1,KDKL_10%,13434,0.2608236623927951,0.004946085158735514,4.581738539854996e-05
MMF4,KDKL,0.1,KDKL_10%,13434,4.215890589313856,0.07729528947404932,0.006001410842653663
WBL4,KDKL,0.1,KDKL_10%,13434,4.3457162974940395,0.07957599978594819,0.006359188842960871
POW4,KDKL,0.1,KDKL_10%,13434,1.1709084290461036,0.022591162053091196,0.0006154740968875968
LC-PFN,KDKL,0.1,KDKL_10%,97080,0.9530963376164436,0.01614556275308132,0.00039422413101419806
MMF4,KDKL,0.1,KDKL_10%,97080,7.445873508261144,0.1188515779733446,0.01680756110726228
WBL4,KDKL,0.1,KDKL_10%,97080,7.628360249019228,0.12152655960021201,0.01758534334011085
POW4,KDKL,0.1,KDKL_10%,97080,0.9115801382486599,0.015545129910210948,0.000364698323054023
LC-PFN,KDKL,0.1,KDKL_10%,88696,1.1348651722073555,0.02029654011130333,0.0005193862598389387
MMF4,KDKL,0.1,KDKL_10%,88696,2.8381032252079623,0.049816277507078316,0.0030539925846782877
WBL4,KDKL,0.1,KDKL_10%,88696,2.8255100654561236,0.049602665429111806,0.0030311815724156964
POW4,KDKL,0.1,KDKL_10%,88696,2.4418930253100366,0.04306641901200735,0.002345294864406291
LC-PFN,KDKL,0.1,KDKL_10%,71482,1.566414162516594,0.018860794603824615,0.0005937928217463195
MMF4,KDKL,0.1,KDKL_10%,71482,2.1182928148561806,0.02548218162253915,0.0009333331568894142
WBL4,KDKL,0.1,KDKL_10%,71482,2.676750597334981,0.03197107155305701,0.0014140626877677713
POW4,KDKL,0.1,KDKL_10%,71482,1.4690683662015207,0.017748780375655398,0.0005146405628659015
LC-PFN,KDKL,0.1,KDKL_10%,11395,4.160510376095772,0.052641574293375015,0.004216625355184078
MMF4,KDKL,0.1,KDKL_10%,11395,3.4961688812769967,0.04374333355866126,0.002970263995972373
WBL4,KDKL,0.1,KDKL_10%,11395,3.4352381892125305,0.042984126716543045,0.0028499094429608423
POW4,KDKL,0.1,KDKL_10%,11395,3.4352382145049973,0.04298412703405056,0.0028499094666931315
LC-PFN,KDKL,0.1,KDKL_10%,77397,0.405653053894639,0.007838490419089794,7.510897557949647e-05
MMF4,KDKL,0.1,KDKL_10%,77397,1.4473577138707163,0.028346716418565066,0.0008788290857439979
WBL4,KDKL,0.1,KDKL_10%,77397,1.602924391162223,0.031429119624768055,0.0010690526855945577
POW4,KDKL,0.1,KDKL_10%,77397,0.734911164618281,0.014294612708520667,0.0002424310089343573
LC-PFN,KDKL,0.1,KDKL_10%,55302,0.15029029455035925,0.0029717436991631985,1.2785097169398796e-05
MMF4,KDKL,0.1,KDKL_10%,55302,0.5707444129976913,0.011234094785027869,0.00013332456972846158
WBL4,KDKL,0.1,KDKL_10%,55302,0.6158083791269692,0.012115388242098797,0.00015390231634832883
