Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
LC-PFN,KDKL,0.1,KDKL_10%,83810,10.108139365911484,0.049327556043863297,0.004778305068612099
MMF4,KDKL,0.1,KDKL_10%,83810,23.402566866951194,0.09936537018373753,0.01323584334396554
WBL4,KDKL,0.1,KDKL_10%,83810,11.740227561107801,0.056271966307085225,0.004881085046757513
POW4,KDKL,0.1,KDKL_10%,83810,10.03954024330142,0.04980287003771405,0.004767817028153569
LC-PFN,KDKL,0.1,KDKL_10%,14592,0.6775177549570799,0.011762918904423714,0.0001691714278422296
MMF4,KDKL,0.1,KDKL_10%,14592,0.9004433330835329,0.015392228582314092,0.00025301842821101096
WBL4,KDKL,0.1,KDKL_10%,14592,0.976969809136408,0.016686933809840158,0.0002945445384769129
POW4,KDKL,0.1,KDKL_10%,14592,0.846104642002902,0.01471155323845471,0.00024835618009888885
LC-PFN,KDKL,0.1,KDKL_10%,3278,0.5623214412480593,0.009662698954343796,0.00012269317812751979
MMF4,KDKL,0.1,KDKL_10%,3278,2.5393403748550476,0.0426873002840519,0.0021613705485354945
WBL4,KDKL,0.1,KDKL_10%,3278,2.4272515554250007,0.04085641233261879,0.0020116904126808734
POW4,KDKL,0.1,KDKL_10%,3278,3.617776239337041,0.0652806502245902,0.0050053541936498054
LC-PFN,KDKL,0.1,KDKL_10%,97196,2.638215944170952,0.04534812644124031,0.002612537471577525
MMF4,KDKL,0.1,KDKL_10%,97196,1.2356638977035852,0.020401859432914123,0.0005270113247871997
WBL4,KDKL,0.1,KDKL_10%,97196,2.2540751628131983,0.03684592851670484,0.0015262303863242473
POW4,KDKL,0.1,KDKL_10%,97196,3.6376771241878867,0.058886138125054964,0.004499255947899207
LC-PFN,KDKL,0.1,KDKL_10%,36048,1.4121560379862785,0.023818572983145714,0.0009030631044879556
MMF4,KDKL,0.1,KDKL_10%,36048,2.051501093669754,0.03427157112905194,0.0017552130747820742
WBL4,KDKL,0.1,KDKL_10%,36048,2.1529007781200535,0.03591319603765231,0.0018737155420358394
POW4,KDKL,0.1,KDKL_10%,36048,1.4436945723228618,0.024468570904684087,0.0008873804216940139
LC-PFN,KDKL,0.1,KDKL_10%,32098,3.723500296473503,0.03777655214071274,0.0017358269542455673
MMF4,KDKL,0.1,KDKL_10%,32098,1.357546431811452,0.013369264231608063,0.00034823969893880844
WBL4,KDKL,0.1,KDKL_10%,32098,1.5314075207711024,0.015102058267610222,0.0004124586898625976
POW4,KDKL,0.1,KDKL_10%,32098,1.5314074919518266,0.015102057978761003,0.00041245867726843484
LC-PFN,KDKL,0.1,KDKL_10%,29256,1.7953170463442802,0.02948673628270626,0.0013241579290479422
