Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,SMAPE,MAE,MSE,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank
LC-PFN,KDKL,0.1,KDKL_10%,10.277691841125488,0.050076503306627274,0.004837133921682835,1,2.0,2.0,2.0,2.0
MMF4,KDKL,0.1,KDKL_10%,23.402566756119676,0.0993653698241169,0.013235843260325883,1,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,47.48250215085037,0.49493404242485395,0.28799641357580413,1,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,10.035922016767278,0.049784137960944504,0.004765370953496499,1,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.1,KDKL_10%,0.6852036714553833,0.011898336000740528,0.00017347375978715718,2,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,0.9004438183907708,0.01539223679916168,0.00025301868113015145,2,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,0.9769698068018201,0.01668693377037262,0.0002945445371597283,2,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,0.846104653867339,0.01471155344661102,0.00024835618642980245,2,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.1,KDKL_10%,0.5793114900588989,0.009955037385225296,0.00012855525710619986,3,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,2.539317407556222,0.042686925520247415,0.002161338203189071,3,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,2.4253996795907202,0.040826128663197445,0.002009216340187302,3,2.0,2.0,2.0,2.0
POW4,KDKL,0.1,KDKL_10%,3.6177762813349967,0.06528065099644702,0.005005354292320124,3,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.1,KDKL_10%,2.755946397781372,0.047450143843889236,0.0028524065855890512,4,3.0,3.0,3.0,3.0
MMF4,KDKL,0.1,KDKL_10%,1.2356645826000414,0.02040187063142203,0.0005270117893207369,4,1.0,1.0,1.0,1.0
WBL4,KDKL,0.1,KDKL_10%,2.2543501593497264,0.03685031645055675,0.0015265686545585804,4,2.0,2.0,2.0,2.0
POW4,KDKL,0.1,KDKL_10%,3.637677130783186,0.058886138210547466,0.004499255966677133,4,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.1,KDKL_10%,1.403731346130371,0.02367972396314144,0.0008993492810986936,5,1.0,1.0,2.0,1.3333333333333333
MMF4,KDKL,0.1,KDKL_10%,2.051608645387244,0.03427331416909711,0.0017553384112776137,5,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,2.1210527047246965,0.03539795012339525,0.0018361350417562554,5,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,1.4436911311095866,0.02446851113047898,0.0008873762667740725,5,2.0,2.0,1.0,1.6666666666666667
LC-PFN,KDKL,0.1,KDKL_10%,3.6393868923187256,0.03688725084066391,0.0016755169490352273,6,4.0,4.0,4.0,4.0
