Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank
LC-PFN,KDKL,0.1,KDKL_10%,83810,10.108137130737305,0.0493275448679924,0.004778304602950811,1,2.0,1.0,2.0,1.6666666666666667
MMF4,KDKL,0.1,KDKL_10%,83810,23.402566756119676,0.0993653698241169,0.013235843260325883,1,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,83810,47.48250215085037,0.49493404242485395,0.28799641357580413,1,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,83810,10.035922016767278,0.049784137960944504,0.004765370953496499,1,1.0,2.0,1.0,1.3333333333333333
LC-PFN,KDKL,0.1,KDKL_10%,14592,0.6775178909301758,0.011762921698391438,0.0001691714714979753,2,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,14592,0.9004438183907708,0.01539223679916168,0.00025301868113015145,2,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,14592,0.9769698068018201,0.01668693377037262,0.0002945445371597283,2,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,14592,0.846104653867339,0.01471155344661102,0.00024835618642980245,2,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.1,KDKL_10%,97196,2.638216733932495,0.04534813016653061,0.002612538170069456,3,3.0,3.0,3.0,3.0
MMF4,KDKL,0.1,KDKL_10%,97196,1.2356645826000414,0.02040187063142203,0.0005270117893207369,3,1.0,1.0,1.0,1.0
WBL4,KDKL,0.1,KDKL_10%,97196,2.2543501593497264,0.03685031645055675,0.0015265686545585804,3,2.0,2.0,2.0,2.0
POW4,KDKL,0.1,KDKL_10%,97196,3.637677130783186,0.058886138210547466,0.004499255966677133,3,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.1,KDKL_10%,3278,0.5623217821121216,0.009662703610956669,0.0001226932945428416,4,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,3278,2.539317407556222,0.042686925520247415,0.002161338203189071,4,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,3278,2.4253996795907202,0.040826128663197445,0.002009216340187302,4,2.0,2.0,2.0,2.0
POW4,KDKL,0.1,KDKL_10%,3278,3.6177762813349967,0.06528065099644702,0.005005354292320124,4,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.1,KDKL_10%,36048,1.4121556282043457,0.023818565532565117,0.000903062813449651,5,1.0,1.0,2.0,1.3333333333333333
MMF4,KDKL,0.1,KDKL_10%,36048,2.051608645387244,0.03427331416909711,0.0017553384112776137,5,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,36048,2.1210527047246965,0.03539795012339525,0.0018361350417562554,5,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,36048,1.4436911311095866,0.02446851113047898,0.0008873762667740725,5,2.0,2.0,1.0,1.6666666666666667
LC-PFN,KDKL,0.3,KDKL_30%,96530,0.6628880500793457,0.011746588163077831,0.00020379500347189605,6,1.0,1.0,1.0,1.0
MMF4,KDKL,0.3,KDKL_30%,96530,0.7192233742380977,0.012718135542666273,0.0002680862459852147,6,2.0,2.0,2.0,2.0
WBL4,KDKL,0.3,KDKL_30%,96530,0.9128476056513308,0.01617120965058186,0.00041807996852870956,6,3.0,3.0,3.0,3.0
POW4,KDKL,0.3,KDKL_30%,96530,1.571827590411785,0.02830849638330638,0.000987497560659924,6,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.3,KDKL_30%,29256,1.7953170537948608,0.02948673628270626,0.0013241575798019767,7,1.0,1.0,1.0,1.0
MMF4,KDKL,0.3,KDKL_30%,29256,6.590263242035779,0.11582109122815482,0.01646561500758825,7,3.0,3.0,3.0,3.0
WBL4,KDKL,0.3,KDKL_30%,29256,7.6756703964431265,0.1365753369033376,0.022318490730160498,7,4.0,4.0,4.0,4.0
POW4,KDKL,0.3,KDKL_30%,29256,3.7121123477504314,0.06305395522335913,0.005470460077420347,7,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.3,KDKL_30%,18289,7.429631233215332,0.0890292301774025,0.00886894203722477,8,3.0,3.0,3.0,3.0
MMF4,KDKL,0.3,KDKL_30%,18289,5.251911409552537,0.05731378138145413,0.004875945515020698,8,1.0,1.0,1.0,1.0
WBL4,KDKL,0.3,KDKL_30%,18289,5.576995197411957,0.06059460593628977,0.0054049994845510995,8,2.0,2.0,2.0,2.0
POW4,KDKL,0.3,KDKL_30%,18289,14.969861827062358,0.20041432180053162,0.04420052760916003,8,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.3,KDKL_30%,13434,0.26082366704940796,0.004946085158735514,4.581738539854996e-05,9,1.0,1.0,1.0,1.0
MMF4,KDKL,0.3,KDKL_30%,13434,4.215740057811367,0.07729264171698924,0.006001001531251305,9,3.0,3.0,3.0,3.0
WBL4,KDKL,0.3,KDKL_30%,13434,4.3457159707674275,0.07957599405332692,0.006359187930602766,9,4.0,4.0,4.0,4.0
POW4,KDKL,0.3,KDKL_30%,13434,1.170908429104631,0.02259116205343187,0.0006154740968266551,9,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.3,KDKL_30%,32098,3.5169594287872314,0.03553612530231476,0.0015736458590254188,10,3.0,3.0,3.0,3.0
MMF4,KDKL,0.3,KDKL_30%,32098,2.695655163411658,0.02691879224341252,0.00094042356714769,10,2.0,2.0,2.0,2.0
WBL4,KDKL,0.3,KDKL_30%,32098,2.2435801951880077,0.022262358623591577,0.0006911360979265257,10,1.0,1.0,1.0,1.0
POW4,KDKL,0.3,KDKL_30%,32098,10.01270754438195,0.11232134634172639,0.017351491998475133,10,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.5,KDKL_50%,11395,4.160510540008545,0.052641574293375015,0.004216625355184078,11,4.0,4.0,4.0,4.0
MMF4,KDKL,0.5,KDKL_50%,11395,3.497294654813501,0.04375731714918658,0.002971562329740373,11,3.0,3.0,3.0,3.0
WBL4,KDKL,0.5,KDKL_50%,11395,3.4352381891122494,0.042984126715289804,0.0028499094429115177,11,1.0,1.0,1.0,1.0
POW4,KDKL,0.5,KDKL_50%,11395,3.435238214858977,0.04298412703848721,0.002849909466961906,11,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.5,KDKL_50%,97080,1.2503540515899658,0.02156883105635643,0.0006118636811152101,12,2.0,2.0,2.0,2.0
MMF4,KDKL,0.5,KDKL_50%,97080,6.030137965144837,0.09913269084955212,0.011318542946239666,12,3.0,3.0,3.0,3.0
WBL4,KDKL,0.5,KDKL_50%,97080,6.281915704855027,0.10299538836201698,0.0122200422734575,12,4.0,4.0,4.0,4.0
POW4,KDKL,0.5,KDKL_50%,97080,0.9458265538568957,0.016400224343884207,0.0003836497872916153,12,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.5,KDKL_50%,77397,0.19771708548069,0.0038232821971178055,1.8655662643141113e-05,13,1.0,1.0,1.0,1.0
MMF4,KDKL,0.5,KDKL_50%,77397,0.2579336217446276,0.004986048457939576,3.860994767195723e-05,13,2.0,2.0,2.0,2.0
WBL4,KDKL,0.5,KDKL_50%,77397,0.3097210918636646,0.005983114238904859,6.49811401004589e-05,13,3.0,3.0,3.0,3.0
POW4,KDKL,0.5,KDKL_50%,77397,0.871037976682753,0.016988202733694075,0.0003138977302735531,13,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.5,KDKL_50%,71482,1.9190808534622192,0.023415571078658104,0.0008109526825137436,14,2.0,2.0,3.0,2.3333333333333335
MMF4,KDKL,0.5,KDKL_50%,71482,1.9657356473451724,0.023711374563587632,0.0008068832251263141,14,3.0,3.0,2.0,2.6666666666666665
WBL4,KDKL,0.5,KDKL_50%,71482,1.6533950749219817,0.01999551583453436,0.0005931728326619923,14,1.0,1.0,1.0,1.0
POW4,KDKL,0.5,KDKL_50%,71482,2.135813778949636,0.026077380116049174,0.001025484078801066,14,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.5,KDKL_50%,88696,1.134864330291748,0.020296523347496986,0.0005193855031393468,15,1.0,1.0,1.0,1.0
MMF4,KDKL,0.5,KDKL_50%,88696,2.8334209352636543,0.04973686054352403,0.0030454993707383572,15,4.0,4.0,4.0,4.0
WBL4,KDKL,0.5,KDKL_50%,88696,2.8259943950754707,0.04961088193939113,0.003032057009009415,15,3.0,3.0,3.0,3.0
POW4,KDKL,0.5,KDKL_50%,88696,2.4418930217568238,0.043066418951198684,0.0023452948584035084,15,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.7,KDKL_70%,55302,0.15673916041851044,0.0031007002107799053,1.3853695236321073e-05,16,2.0,2.0,2.0,2.0
MMF4,KDKL,0.7,KDKL_70%,55302,0.3055503812269177,0.006033947934865251,4.6226929062719316e-05,16,3.0,3.0,3.0,3.0
WBL4,KDKL,0.7,KDKL_70%,55302,0.401634739455987,0.00792216304213765,7.322672732858096e-05,16,4.0,4.0,4.0,4.0
POW4,KDKL,0.7,KDKL_70%,55302,0.12239569335695794,0.0024227434698962835,1.0162861284817031e-05,16,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.7,KDKL_70%,4165,1.4503804445266724,0.02198931761085987,0.0008104673470370471,17,1.0,1.0,1.0,1.0
MMF4,KDKL,0.7,KDKL_70%,4165,1.940233324512835,0.028543111919914575,0.0010927797360711848,17,2.0,2.0,2.0,2.0
WBL4,KDKL,0.7,KDKL_70%,4165,3.2005519577081665,0.046712938597285626,0.003086869964800587,17,4.0,4.0,4.0,4.0
POW4,KDKL,0.7,KDKL_70%,4165,2.8479039645723314,0.04120435541133806,0.0020703066199992378,17,3.0,3.0,3.0,3.0
LC-PFN,KDKL,0.7,KDKL_70%,3905,2.0259358882904053,0.03114488162100315,0.0016076123574748635,18,4.0,4.0,4.0,4.0
MMF4,KDKL,0.7,KDKL_70%,3905,1.8475841723249093,0.026556102780141772,0.0007264115980250406,18,3.0,3.0,3.0,3.0
WBL4,KDKL,0.7,KDKL_70%,3905,0.6737918249246961,0.009708630016812922,0.00011051904680031208,18,1.0,1.0,1.0,1.0
POW4,KDKL,0.7,KDKL_70%,3905,0.7738495562648615,0.011549153917615036,0.00022134578806473534,18,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.7,KDKL_70%,28657,3.5228469371795654,0.044247765094041824,0.00237111933529377,19,2.0,2.0,2.0,2.0
MMF4,KDKL,0.7,KDKL_70%,28657,3.8416665916439725,0.047261753939263636,0.0024679514045233006,19,3.0,3.0,3.0,3.0
WBL4,KDKL,0.7,KDKL_70%,28657,1.9006310439186886,0.022702343871016138,0.0005298723529332873,19,1.0,1.0,1.0,1.0
POW4,KDKL,0.7,KDKL_70%,28657,7.8783102242397245,0.09423564762158626,0.010414900768516625,19,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.7,KDKL_70%,12280,0.23260816931724548,0.003741145133972168,2.0007957573398016e-05,20,2.0,2.0,2.0,2.0
MMF4,KDKL,0.7,KDKL_70%,12280,0.539019428611827,0.008632779425503527,8.641628575387334e-05,20,3.0,3.0,3.0,3.0
WBL4,KDKL,0.7,KDKL_70%,12280,0.6753739786771722,0.010800215547976005,0.00012795955393812893,20,4.0,4.0,4.0,4.0
POW4,KDKL,0.7,KDKL_70%,12280,0.20140291142462594,0.003241349203965682,1.5989107693613415e-05,20,1.0,1.0,1.0,1.0
LC-PFN,KDKL,0.9,KDKL_90%,3478,9.969780921936035,0.14360341429710388,0.048933837562799454,21,3.0,3.0,4.0,3.3333333333333335
MMF4,KDKL,0.9,KDKL_90%,3478,13.37876377766763,0.18793669321892426,0.03983016124044059,21,4.0,4.0,3.0,3.6666666666666665
WBL4,KDKL,0.9,KDKL_90%,3478,9.51880691138621,0.13351698773215454,0.03220366293884808,21,1.0,1.0,2.0,1.3333333333333333
POW4,KDKL,0.9,KDKL_90%,3478,9.518806933366575,0.13351698805896475,0.03220366280859391,21,2.0,2.0,1.0,1.6666666666666667
LC-PFN,KDKL,0.9,KDKL_90%,30495,1.010225772857666,0.012902569957077503,0.0002287684183102101,22,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,30495,1.4994822588145778,0.019085547432592408,0.0006004569103121606,22,2.0,2.0,2.0,2.0
WBL4,KDKL,0.9,KDKL_90%,30495,3.297891619705611,0.043468834621519584,0.002116700077180147,22,3.0,3.0,3.0,3.0
POW4,KDKL,0.9,KDKL_90%,30495,3.2978916245825585,0.043468834688266275,0.002116700082982769,22,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.9,KDKL_90%,78907,1.4084529876708984,0.02203306555747986,0.0006033930112607777,23,3.0,3.0,3.0,3.0
MMF4,KDKL,0.9,KDKL_90%,78907,0.7750540745908694,0.012019488971212447,0.0002081163029647661,23,2.0,2.0,2.0,2.0
WBL4,KDKL,0.9,KDKL_90%,78907,0.7664668467815944,0.01188495041307989,0.000204280038477029,23,1.0,1.0,1.0,1.0
POW4,KDKL,0.9,KDKL_90%,78907,3.3209192529894738,0.05308333999373647,0.0029385729108170216,23,4.0,4.0,4.0,4.0
LC-PFN,KDKL,0.9,KDKL_90%,66237,0.23577545583248138,0.004508068319410086,2.780722024908755e-05,24,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,66237,0.7492891921136504,0.014241222500599116,0.00022006480199703208,24,4.0,4.0,4.0,4.0
WBL4,KDKL,0.9,KDKL_90%,66237,0.7380972262711943,0.01403019677531501,0.00021409880669630567,24,3.0,3.0,3.0,3.0
POW4,KDKL,0.9,KDKL_90%,66237,0.26186621388939313,0.005018080741250264,3.561491719713463e-05,24,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.9,KDKL_90%,73563,0.7034878134727478,0.012446120381355286,0.00024192314594984055,25,1.0,1.0,1.0,1.0
MMF4,KDKL,0.9,KDKL_90%,73563,0.8359398223170299,0.014763312647058657,0.0003450395861624572,25,2.0,2.0,3.0,2.3333333333333335
WBL4,KDKL,0.9,KDKL_90%,73563,0.869608151434631,0.015350634813388678,0.0003643478790937311,25,4.0,4.0,4.0,4.0
