Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
LC-PFN,KDKL,0.1,KDKL_10%,53547,2.6487283408641815,0.04547302797436714,0.003456305479630828
MMF4,KDKL,0.1,KDKL_10%,53547,2.998237905163752,0.0519964584773154,0.006173391404912666
WBL4,KDKL,0.1,KDKL_10%,53547,3.022358596542953,0.05244476213435314,0.006222675297545661
POW4,KDKL,0.1,KDKL_10%,53547,3.7436714145099597,0.06594984962825758,0.007483733153319104
LC-PFN,KDKL,0.1,KDKL_10%,91961,0.5147660616785288,0.010041124187409878,0.00013790675438940525
MMF4,KDKL,0.1,KDKL_10%,91961,0.6530295739912384,0.012880121604513909,0.00022479646838918254
WBL4,KDKL,0.1,KDKL_10%,91961,0.30960958269196476,0.006085794731957127,4.8418733996691046e-05
POW4,KDKL,0.1,KDKL_10%,91961,0.5515362152437874,0.01074590551390515,0.00018011861167194804
LC-PFN,KDKL,0.1,KDKL_10%,23155,0.0027693553420249373,5.5388645705534145e-06,3.070956683393078e-11
MMF4,KDKL,0.1,KDKL_10%,23155,2.8836081020012143e-07,5.767216187372036e-10,3.326078255199475e-19
WBL4,KDKL,0.1,KDKL_10%,23155,0.00018497551312903523,3.6995177803575897e-07,1.5035586582287309e-13
POW4,KDKL,0.1,KDKL_10%,23155,1.8853206413492768e-06,3.770641370976127e-09,1.7655515280794608e-17
LC-PFN,KDKL,0.1,KDKL_10%,49750,7.83684179186821,0.03128919377923012,0.0014688634546473622
MMF4,KDKL,0.1,KDKL_10%,49750,10.281006547504546,0.04029050906373448,0.002362750359001914
WBL4,KDKL,0.1,KDKL_10%,49750,10.541327664004166,0.041203703702760885,0.0024961419751751684
POW4,KDKL,0.1,KDKL_10%,49750,10.541327646230478,0.04120370364085509,0.0024961419667938536
LC-PFN,KDKL,0.1,KDKL_10%,71037,1.1545484885573387,0.01836993359029293,0.0005367794656194746
MMF4,KDKL,0.1,KDKL_10%,71037,1.2959928679675083,0.020649522846843966,0.0006183514634699654
WBL4,KDKL,0.1,KDKL_10%,71037,1.2961792829095309,0.020652510843785672,0.0006185930834208173
POW4,KDKL,0.1,KDKL_10%,71037,1.3001683837500368,0.020716534969623192,0.0006419115082436314
LC-PFN,KDKL,0.1,KDKL_10%,15290,3.26974056661129,0.03415917605161667,0.0018815119983628392
MMF4,KDKL,0.1,KDKL_10%,15290,3.1864966504265855,0.03324095090998254,0.0015475167163510031
WBL4,KDKL,0.1,KDKL_10%,15290,3.21337236514498,0.03352039766597952,0.0015556837558478105
POW4,KDKL,0.1,KDKL_10%,15290,3.1690017976830074,0.033062689487764876,0.0015763445124208182
LC-PFN,KDKL,0.1,KDKL_10%,29512,8.480995893478394,0.13737653195858002,0.022802673280239105
MMF4,KDKL,0.1,KDKL_10%,29512,17.808560794781723,0.2634495210434748,0.08473547045148033
WBL4,KDKL,0.1,KDKL_10%,29512,2.035532122205011,0.03202426353571382,0.0015600390409020574
POW4,KDKL,0.1,KDKL_10%,29512,13.668617401151161,0.2050807021377434,0.047123037604495856
LC-PFN,KDKL,0.1,KDKL_10%,3813,0.1499407459050417,0.0009920077864080667,1.0737890079326462e-06
