Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
LC-PFN,Flat,0.1,Flat_10%,2619,2.8179511427879333,0.0518934465944767,0.002957684686407447
MMF4,Flat,0.1,Flat_10%,2619,1.495028461810088,0.027113695662209746,0.0008387288453184823
WBL4,Flat,0.1,Flat_10%,2619,1.6517417594536776,0.030009744401370216,0.0010048262350452843
POW4,Flat,0.1,Flat_10%,2619,1.651741877622523,0.03000974658859864,0.0010048263663216194
LC-PFN,Flat,0.1,Flat_10%,456,0.002225357820861973,3.3873777283588424e-05,1.978897268273272e-09
MMF4,Flat,0.1,Flat_10%,456,6.021031066644225e-08,9.165347284542017e-10,8.820042391968192e-19
WBL4,Flat,0.1,Flat_10%,456,0.0016054124021676601,2.443840662024729e-05,7.037017360334042e-10
POW4,Flat,0.1,Flat_10%,456,1.1582368928243714e-05,1.763094150219739e-07,3.2478877595876754e-14
LC-PFN,Flat,0.1,Flat_10%,1003,0.17805496463552117,0.003554408671334386,1.2635213352041319e-05
MMF4,Flat,0.1,Flat_10%,1003,0.055347320509798195,0.0011057899438393945,1.974452341581295e-06
WBL4,Flat,0.1,Flat_10%,1003,0.055352020591867376,0.0011058838553010758,1.9746033746628967e-06
POW4,Flat,0.1,Flat_10%,1003,0.055346977641577845,0.0011057830930531784,1.974441324726026e-06
LC-PFN,Flat,0.1,Flat_10%,383,0.13803582405671477,0.0027429291512817144,1.2370272997941356e-05
MMF4,Flat,0.1,Flat_10%,383,0.1229441267348316,0.0024424675901132875,9.141848507934482e-06
WBL4,Flat,0.1,Flat_10%,383,0.12294514815157523,0.0024424879183730453,9.142029918874156e-06
POW4,Flat,0.1,Flat_10%,383,0.12294445202023646,0.0024424740639508646,9.141906279837798e-06
LC-PFN,Flat,0.1,Flat_10%,2233,0.1483177882619202,0.0029170759953558445,8.513951797795016e-06
MMF4,Flat,0.1,Flat_10%,2233,1.3090125610319528e-05,2.570710989973466e-07,8.347664177185798e-14
WBL4,Flat,0.1,Flat_10%,2233,8.276010415558e-10,1.6252887924395054e-11,2.6415636588294657e-22
POW4,Flat,0.1,Flat_10%,2233,2.9122127413001326e-08,5.719164779441947e-10,3.2708845774409525e-19
LC-PFN,Flat,0.1,Flat_10%,2771,0.16603043768554926,0.0032826801761984825,4.702813021140173e-05
MMF4,Flat,0.1,Flat_10%,2771,0.16757434763422926,0.0033134354965432757,4.859095323887255e-05
WBL4,Flat,0.1,Flat_10%,2771,0.16757520675950863,0.003313452611946932,4.859162155364489e-05
POW4,Flat,0.1,Flat_10%,2771,0.16757519059839512,0.0033134522899803264,4.8591606008543236e-05
LC-PFN,Flat,0.1,Flat_10%,571,6.95602148771286,0.045062046498060226,0.0021524035837501287
MMF4,Flat,0.1,Flat_10%,571,1.830844956866298,0.011087420038157174,0.00023867867174670742
WBL4,Flat,0.1,Flat_10%,571,1.831200629924377,0.011089651020535045,0.00023872474024729727
POW4,Flat,0.1,Flat_10%,571,1.83084534696843,0.011087422485005542,0.00023867871994478405
LC-PFN,Flat,0.1,Flat_10%,1126,1.9768759608268738,0.020278435200452805,0.0005851997993886471
MMF4,Flat,0.1,Flat_10%,1126,0.5207924114591651,0.005212266355255434,2.834073912770505e-05
WBL4,Flat,0.1,Flat_10%,1126,0.6420530555515348,0.006443305816678417,6.901395436098883e-05
POW4,Flat,0.1,Flat_10%,1126,0.5190934887644735,0.005195245949139499,2.873919927980563e-05
LC-PFN,Flat,0.1,Flat_10%,1728,0.22951867431402206,0.0045537459664046764,3.6883695429423824e-05
MMF4,Flat,0.1,Flat_10%,1728,0.1649060625612135,0.003267973787428269,1.929160717192998e-05
WBL4,Flat,0.1,Flat_10%,1728,0.16490606600486613,0.0032679738562091678,1.9291933078049737e-05
POW4,Flat,0.1,Flat_10%,1728,0.1649060660118185,0.0032679738562090633,1.9291810716838682e-05
LC-PFN,Flat,0.1,Flat_10%,419,2.720612660050392,0.04909304901957512,0.0031276936642825603
MMF4,Flat,0.1,Flat_10%,419,2.7173448726487512,0.04913300767657162,0.0033689077002906943
WBL4,Flat,0.1,Flat_10%,419,6.1081801980723505,0.11415954116150107,0.014101790994238481
POW4,Flat,0.1,Flat_10%,419,2.2870608365269165,0.041200361138817344,0.002607371964726258
LC-PFN,Flat,0.1,Flat_10%,895,0.05038217059336603,0.0009347349405288696,1.720935142657254e-05
MMF4,Flat,0.1,Flat_10%,895,0.045794625498722964,0.0008504701721913921,1.7354095577697558e-05
WBL4,Flat,0.1,Flat_10%,895,0.04578755378504649,0.0008503402829480311,1.735388057746038e-05
POW4,Flat,0.1,Flat_10%,895,0.045816969834265225,0.0008508805752298019,1.735295488728541e-05
LC-PFN,Flat,0.1,Flat_10%,102,1.5281462110579014,0.026110589504241943,0.0020525234285742044
MMF4,Flat,0.1,Flat_10%,102,1.7506562802105596,0.03008930376040153,0.00217575303031472
WBL4,Flat,0.1,Flat_10%,102,1.569413790704258,0.02684548099589068,0.0019852557085753733
POW4,Flat,0.1,Flat_10%,102,2.996429515834435,0.05283392118287699,0.004915885333506701
LC-PFN,Flat,0.1,Flat_10%,122,7.152145355939865,0.1119990348815918,0.014981362037360668
MMF4,Flat,0.1,Flat_10%,122,2.2238377076655365,0.03292732467158491,0.00227390498394199
WBL4,Flat,0.1,Flat_10%,122,2.610056508284969,0.03858024628273638,0.0021433470332311373
POW4,Flat,0.1,Flat_10%,122,2.610056496013669,0.03858024610091334,0.0021433470296584405
LC-PFN,Flat,0.1,Flat_10%,356,1.190047524869442,0.022074764594435692,0.0006128518143668771
MMF4,Flat,0.1,Flat_10%,356,1.1179457868977711,0.020718622338398954,0.0005305308780786901
WBL4,Flat,0.1,Flat_10%,356,1.1207429134192715,0.020771107117799285,0.0005336142449509837
POW4,Flat,0.1,Flat_10%,356,1.2179867613845696,0.022599546864329384,0.000644416015328703
LC-PFN,Flat,0.1,Flat_10%,914,0.5292023532092571,0.008606630377471447,9.42840488278307e-05
MMF4,Flat,0.1,Flat_10%,914,2.130158131145171,0.03527636005171934,0.0014261982159687093
WBL4,Flat,0.1,Flat_10%,914,0.204192545734844,0.0033044695192483487,1.2608514324001198e-05
POW4,Flat,0.1,Flat_10%,914,3.9128867403184393,0.06691557366459562,0.006346856721791228
LC-PFN,Flat,0.1,Flat_10%,2418,1.8314853310585022,0.0318877249956131,0.0012980923056602478
MMF4,Flat,0.1,Flat_10%,2418,1.8944307955979616,0.033092995259230706,0.0015949123149822289
WBL4,Flat,0.1,Flat_10%,2418,6.458786741024286,0.11899293166823777,0.016197768931355286
POW4,Flat,0.1,Flat_10%,2418,1.5284457015728072,0.026550330251366373,0.0010445896053078924
LC-PFN,Flat,0.1,Flat_10%,130,0.29236513655632734,0.0055001568980515,3.9997463318286464e-05
MMF4,Flat,0.1,Flat_10%,130,0.3403086365621924,0.006355205222339649,4.582536009448141e-05
WBL4,Flat,0.1,Flat_10%,130,0.3207222225913637,0.00599076912155166,4.135226985877771e-05
POW4,Flat,0.1,Flat_10%,130,0.9224708608514888,0.017552488155034796,0.0004830281659885198
LC-PFN,Flat,0.1,Flat_10%,2069,2.185288816690445,0.0413883700966835,0.001839076285250485
MMF4,Flat,0.1,Flat_10%,2069,1.7005027553447498,0.032034731203089924,0.001126758588314937
WBL4,Flat,0.1,Flat_10%,2069,1.9057527023967074,0.03598328856488746,0.0014038116343684922
POW4,Flat,0.1,Flat_10%,2069,3.1116987877129296,0.0596182616883852,0.004013353598202371
LC-PFN,Flat,0.1,Flat_10%,952,1.7867546528577805,0.03422993794083595,0.0013869343092665076
MMF4,Flat,0.1,Flat_10%,952,2.751463577524099,0.05329994378714213,0.0031874502125365987
WBL4,Flat,0.1,Flat_10%,952,0.7261706703003068,0.013733108314544263,0.0002595608040035414
POW4,Flat,0.1,Flat_10%,952,1.242825497601716,0.023652303973771976,0.0006830204846920671
LC-PFN,Flat,0.1,Flat_10%,2465,0.5676697939634323,0.009552374482154846,9.144826617557555e-05
MMF4,Flat,0.1,Flat_10%,2465,1.7219637608331177e-05,2.914091968564403e-07,9.303773842468927e-14
WBL4,Flat,0.1,Flat_10%,2465,5.250551004353479e-09,8.885547853054732e-11,7.895296064892555e-21
POW4,Flat,0.1,Flat_10%,2465,4.6040114691097995e-06,7.791404404988711e-08,6.436546399134678e-15
LC-PFN,Flat,0.1,Flat_10%,2298,0.1432916265912354,0.0028480396140366793,8.917048035073094e-06
MMF4,Flat,0.1,Flat_10%,2298,0.022839012812494033,0.0004530516397802372,1.0149550719972237e-06
WBL4,Flat,0.1,Flat_10%,2298,0.02283695396637376,0.00045301075287036577,1.0150676938231378e-06
POW4,Flat,0.1,Flat_10%,2298,0.022837383261591692,0.0004530192783058812,1.0150513874764287e-06
LC-PFN,Flat,0.1,Flat_10%,814,0.013486343959812075,0.0002686161606106907,7.611935615159382e-08
MMF4,Flat,0.1,Flat_10%,814,1.287841425117913e-06,2.565441533477603e-08,6.58560450382437e-16
WBL4,Flat,0.1,Flat_10%,814,1.1846247371014807e-08,2.3598289988768784e-10,5.56879290394025e-20
POW4,Flat,0.1,Flat_10%,814,3.2388308935400114e-09,6.45190567638565e-11,4.162708685697737e-21
LC-PFN,Flat,0.1,Flat_10%,2232,0.1483177882619202,0.0029170759953558445,8.513951797795016e-06
MMF4,Flat,0.1,Flat_10%,2232,1.3090125610319528e-05,2.570710989973466e-07,8.347664177185798e-14
WBL4,Flat,0.1,Flat_10%,2232,8.276010415558e-10,1.6252887924395054e-11,2.6415636588294657e-22
POW4,Flat,0.1,Flat_10%,2232,2.9122127413001326e-08,5.719164779441947e-10,3.2708845774409525e-19
LC-PFN,Flat,0.1,Flat_10%,26,0.12930419761687517,0.002378354547545314,5.656582288793288e-06
MMF4,Flat,0.1,Flat_10%,26,9.168481226659874e-06,1.6885833934505219e-07,3.6719081858605425e-14
WBL4,Flat,0.1,Flat_10%,26,6.988082899286707e-09,1.2870138288434418e-10,1.6564045956342562e-20
POW4,Flat,0.1,Flat_10%,26,2.802422300772013e-05,5.161297834707954e-07,3.8428077402485407e-13
LC-PFN,Flat,0.1,Flat_10%,2661,0.5501595325767994,0.010817015543580055,0.00014754937728866935
MMF4,Flat,0.1,Flat_10%,2661,0.31651613207243884,0.0062019652220503905,6.901433133772416e-05
