,Curve_idx,Dataset_idx,Learner_idx,Learner_name,Model,SMAPE,MAE,MSE,Cutoff_idx,Cutoff_percentage,Train_points,Test_points,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank
0,5,226,9,RidgeClassifier,LC-PFN,32.83940255641937,0.1902838796377182,0.0547660216689109,25,0.1,25,74,1,4.0,4.0,3.0,3.6666666666666665
1,5,226,9,RidgeClassifier,MMF4,31.35285995671613,0.1862733464974061,0.0546133970409381,25,0.1,25,74,1,2.0,2.0,2.0,2.0
2,5,226,9,RidgeClassifier,WBL4,31.9081076960801,0.1887891427902606,0.056393164703217,25,0.1,25,74,1,3.0,3.0,4.0,3.3333333333333335
3,5,226,9,RidgeClassifier,POW4,29.31837628140891,0.1765742363807241,0.0479382946561933,25,0.1,25,74,1,1.0,1.0,1.0,1.0
4,1,14,18,KNN,LC-PFN,0.9161006659269332,0.0175966918468475,0.0003999028122052,25,0.1,25,41,2,1.0,1.0,1.0,1.0
5,1,14,18,KNN,MMF4,1.0156256007032456,0.0195104524875838,0.0005334348332538,25,0.1,25,41,2,2.0,2.0,2.0,2.0
6,1,14,18,KNN,WBL4,2.659614390079911,0.0499989511811867,0.0030301498944136,25,0.1,25,41,2,3.0,3.0,3.0,3.0
7,1,14,18,KNN,POW4,3.0172104540189992,0.0553128395347967,0.0034454899047535,25,0.1,25,41,2,4.0,4.0,4.0,4.0
8,12,236,7,PassiveAggressive,LC-PFN,1.4063015580177307,0.0178162474185228,0.0004887920222245,25,0.1,25,30,3,1.0,1.0,1.0,1.0
9,12,236,7,PassiveAggressive,MMF4,1.6211807258883035,0.0204565663281686,0.000637668710344,25,0.1,25,30,3,3.0,3.0,3.0,3.0
10,12,236,7,PassiveAggressive,WBL4,1.8334239628643592,0.0230987935529772,0.0008189607123926,25,0.1,25,30,3,4.0,4.0,4.0,4.0
11,12,236,7,PassiveAggressive,POW4,1.5939802476860614,0.0201309059888976,0.000614668614153,25,0.1,25,30,3,2.0,2.0,2.0,2.0
12,3,183,19,NearestCentroid,LC-PFN,8.907739818096161,0.0281346663832664,0.0009577943128533,25,0.1,25,81,4,3.0,3.0,3.0,3.0
13,3,183,19,NearestCentroid,MMF4,27.576500584761632,0.0717896640890537,0.007010132957936,25,0.1,25,81,4,4.0,4.0,4.0,4.0
14,3,183,19,NearestCentroid,WBL4,5.999723295136937,0.0197887367885971,0.0004479836588994,25,0.1,25,81,4,2.0,2.0,2.0,2.0
15,3,183,19,NearestCentroid,POW4,5.999723292922377,0.0197887367813005,0.0004479836588294,25,0.1,25,81,4,1.0,1.0,1.0,1.0
16,8,206,19,NearestCentroid,LC-PFN,1.1523576453328133,0.0212804805487394,0.0004915678291581,25,0.1,25,49,5,4.0,4.0,4.0,4.0
17,8,206,19,NearestCentroid,MMF4,0.7042245240126637,0.0127470626640126,0.0001757003097797,25,0.1,25,49,5,1.0,1.0,1.0,1.0
18,8,206,19,NearestCentroid,WBL4,0.9454908491525704,0.0170701565200976,0.0003118132985522,25,0.1,25,49,5,3.0,3.0,3.0,3.0
19,8,206,19,NearestCentroid,POW4,0.7226373825489791,0.0132937742356594,0.0002017442491205,25,0.1,25,49,5,2.0,2.0,2.0,2.0
20,2,157,20,ens.ExtraTrees,LC-PFN,0.4819993861019611,0.0093276519328355,0.000111021057819,25,0.1,25,26,6,2.0,2.0,2.0,2.0
21,2,157,20,ens.ExtraTrees,MMF4,0.5534242327160276,0.0106332270909886,0.0001417058511547,25,0.1,25,26,6,3.0,3.0,3.0,3.0
22,2,157,20,ens.ExtraTrees,WBL4,0.6320488994243881,0.0121321908819247,0.0001778152237299,25,0.1,25,26,6,4.0,4.0,4.0,4.0
23,2,157,20,ens.ExtraTrees,POW4,0.3055955203558356,0.0059225114359734,3.88032629073367e-05,25,0.1,25,26,6,1.0,1.0,1.0,1.0
24,9,248,19,NearestCentroid,LC-PFN,0.2597756450995803,0.0041713486425578,3.1235340429702774e-05,25,0.1,25,34,7,1.0,1.0,1.0,1.0
25,9,248,19,NearestCentroid,MMF4,1.1114481756052326,0.0175623677364718,0.0003649433176347,25,0.1,25,34,7,3.0,3.0,3.0,3.0
26,9,248,19,NearestCentroid,WBL4,1.3757971207857205,0.0216732858983914,0.0005406920576437,25,0.1,25,34,7,4.0,4.0,4.0,4.0
27,9,248,19,NearestCentroid,POW4,0.3978665857754067,0.0063613194590426,4.3641710620199225e-05,25,0.1,25,34,7,2.0,2.0,2.0,2.0
28,11,139,2,SVC_rbf,LC-PFN,0.5682751070708036,0.0100529007613658,0.0001328952930634,25,0.1,25,25,8,4.0,4.0,4.0,4.0
29,11,139,2,SVC_rbf,MMF4,0.1100097010518036,0.0019298332497133,4.053960201990616e-06,25,0.1,25,25,8,3.0,3.0,3.0,3.0
30,11,139,2,SVC_rbf,WBL4,0.0933032560955658,0.0016370554504805,3.028292204650848e-06,25,0.1,25,25,8,1.0,1.0,1.0,1.0
31,11,139,2,SVC_rbf,POW4,0.1047255776991206,0.001837245951049,3.662955816428309e-06,25,0.1,25,25,8,2.0,2.0,2.0,2.0
32,14,2,6,LogisticRegression,LC-PFN,0.525604235008359,0.0091478824615478,0.0001247351465281,25,0.1,25,15,9,3.0,3.0,3.0,3.0
33,14,2,6,LogisticRegression,MMF4,0.1544741644769311,0.0026719956481373,1.1088666911503825e-05,25,0.1,25,15,9,2.0,2.0,2.0,2.0
34,14,2,6,LogisticRegression,WBL4,0.1408430547736901,0.0024357354434754,9.188912129963867e-06,25,0.1,25,15,9,1.0,1.0,1.0,1.0
35,14,2,6,LogisticRegression,POW4,1.0811946575764413,0.0189004742947983,0.0003748431559272,25,0.1,25,15,9,4.0,4.0,4.0,4.0
36,13,248,11,MLP,LC-PFN,0.8006452582776546,0.0130445715039968,0.0001896729954751,25,0.1,25,34,10,2.0,2.0,2.0,2.0
37,13,248,11,MLP,MMF4,4.53727526561691,0.0711342280455122,0.0055895569718761,25,0.1,25,34,10,4.0,4.0,4.0,4.0
38,13,248,11,MLP,WBL4,4.379301636705429,0.0687738484633276,0.0052807268894597,25,0.1,25,34,10,3.0,3.0,3.0,3.0
39,13,248,11,MLP,POW4,0.4490101924200302,0.0073180990356528,6.208332623973543e-05,25,0.1,25,34,10,1.0,1.0,1.0,1.0
40,4,162,17,GaussianNB,LC-PFN,1.018266286700964,0.0200704652816057,0.0004037608159705,25,0.1,25,26,11,4.0,4.0,4.0,4.0
41,4,162,17,GaussianNB,MMF4,0.2956990969936263,0.0058707598095697,3.547003721002543e-05,25,0.1,25,26,11,2.0,2.0,2.0,2.0
42,4,162,17,GaussianNB,WBL4,0.3818142538909007,0.007573810985197,5.853618326680008e-05,25,0.1,25,26,11,3.0,3.0,3.0,3.0
43,4,162,17,GaussianNB,POW4,0.0939322366359067,0.0018657357412068,6.667904906308489e-06,25,0.1,25,26,11,1.0,1.0,1.0,1.0
44,10,162,22,ens.GradientBoosting,LC-PFN,0.9476890787482262,0.0186652336269617,0.0003517563454806,25,0.1,25,26,12,4.0,4.0,4.0,4.0
45,10,162,22,ens.GradientBoosting,MMF4,0.4780649508485956,0.0094607635860004,9.297430840374135e-05,25,0.1,25,26,12,3.0,3.0,3.0,3.0
46,10,162,22,ens.GradientBoosting,WBL4,0.4312389324280385,0.0085382825559562,7.668182280283375e-05,25,0.1,25,26,12,2.0,2.0,2.0,2.0
47,10,162,22,ens.GradientBoosting,POW4,0.0909543635771693,0.0018049947567641,5.613104653198543e-06,25,0.1,25,26,12,1.0,1.0,1.0,1.0
48,15,150,2,SVC_rbf,LC-PFN,0.1467416994273662,0.0024774770718067,9.889569810184184e-06,25,0.1,25,6,13,4.0,4.0,4.0,4.0
49,15,150,2,SVC_rbf,MMF4,2.0930809755883218e-07,3.542137028134107e-09,1.2653213935308072e-17,25,0.1,25,6,13,1.0,1.0,1.0,1.0
50,15,150,2,SVC_rbf,WBL4,0.0016356503142454,2.7680694471621248e-05,7.757404308598258e-10,25,0.1,25,6,13,3.0,3.0,3.0,3.0
51,15,150,2,SVC_rbf,POW4,6.245754043795155e-06,1.0569738297568541e-07,1.1592175089491387e-14,25,0.1,25,6,13,2.0,2.0,2.0,2.0
52,7,77,10,SGDClassifier,LC-PFN,0.9902910329401492,0.0119049716740846,0.0002029149909503,25,0.1,25,21,14,1.0,1.0,1.0,1.0
53,7,77,10,SGDClassifier,MMF4,1.2932368213249117,0.0156052425779292,0.0003591031911552,25,0.1,25,21,14,3.0,3.0,3.0,3.0
54,7,77,10,SGDClassifier,WBL4,8.505990008420032,0.1128934474003261,0.0146506444355915,25,0.1,25,21,14,4.0,4.0,4.0,4.0
55,7,77,10,SGDClassifier,POW4,1.1654906963213565,0.0140264461887341,0.0002975085090892,25,0.1,25,21,14,2.0,2.0,2.0,2.0
56,0,260,5,ExtraTree,LC-PFN,1.0397158563137054,0.0131372530013322,0.0001949722063727,25,0.1,25,66,15,2.0,2.0,2.0,2.0
57,0,260,5,ExtraTree,MMF4,0.3361252655634346,0.0041860735647645,2.9073378201048723e-05,25,0.1,25,66,15,1.0,1.0,1.0,1.0
58,0,260,5,ExtraTree,WBL4,1.2863027365169226,0.0162414408343802,0.0002922733627308,25,0.1,25,66,15,4.0,4.0,4.0,4.0
59,0,260,5,ExtraTree,POW4,1.2863027266177454,0.0162414407075809,0.0002922733585985,25,0.1,25,66,15,3.0,3.0,3.0,3.0
60,22,165,1,SVC_poly,LC-PFN,0.986671820282936,0.0190413370728492,0.0003628390259109,25,0.1,25,107,16,4.0,4.0,4.0,4.0
61,22,165,1,SVC_poly,MMF4,0.0290099159467819,0.0005544825316096,3.078385606280728e-07,25,0.1,25,107,16,2.0,2.0,2.0,2.0
62,22,165,1,SVC_poly,WBL4,0.0039407588020121,7.529705191364486e-05,5.669646029763245e-09,25,0.1,25,107,16,1.0,1.0,1.0,1.0
63,22,165,1,SVC_poly,POW4,0.1356221315041086,0.0025950121777493,6.782120571944997e-06,25,0.1,25,107,16,3.0,3.0,3.0,3.0
64,16,188,2,SVC_rbf,LC-PFN,1.2311208993196487,0.0199297126382589,0.0005173602257855,25,0.1,25,40,17,1.0,1.0,1.0,1.0
65,16,188,2,SVC_rbf,MMF4,2.231329810874467,0.0356706499453836,0.0016555896388715,25,0.1,25,40,17,3.0,3.0,3.0,3.0
66,16,188,2,SVC_rbf,WBL4,2.295603736690241,0.0366684088912956,0.0017326579364465,25,0.1,25,40,17,4.0,4.0,4.0,4.0
67,16,188,2,SVC_rbf,POW4,1.9101026972231168,0.0306647475482273,0.0012960800550506,25,0.1,25,40,17,2.0,2.0,2.0,2.0
68,18,48,7,PassiveAggressive,LC-PFN,0.8587446995079517,0.0132083399221301,0.0002595480182208,25,0.1,25,75,18,1.0,1.0,1.0,1.0
69,18,48,7,PassiveAggressive,MMF4,2.5361267886321617,0.0381171103601739,0.0016310021048105,25,0.1,25,75,18,3.0,3.0,3.0,3.0
70,18,48,7,PassiveAggressive,WBL4,2.775131966589494,0.0416017865873548,0.0019199712982672,25,0.1,25,75,18,4.0,4.0,4.0,4.0
71,18,48,7,PassiveAggressive,POW4,2.516600029606661,0.0378316518372754,0.0016084983620094,25,0.1,25,75,18,2.0,2.0,2.0,2.0
72,23,157,14,BernoulliNB,LC-PFN,1.3609927147626877,0.0254221688956022,0.0006659765494987,25,0.1,25,26,19,4.0,4.0,4.0,4.0
73,23,157,14,BernoulliNB,MMF4,1.6471126915322715e-06,3.033531225788293e-08,1.145804210556616e-15,25,0.1,25,26,19,2.0,2.0,2.0,2.0
74,23,157,14,BernoulliNB,WBL4,4.9083723199416805e-09,9.039879955707876e-11,8.1719429613609e-21,25,0.1,25,26,19,1.0,1.0,1.0,1.0
75,23,157,14,BernoulliNB,POW4,1.76502335345962e-05,3.250691178159092e-07,1.2624237460906094e-13,25,0.1,25,26,19,3.0,3.0,3.0,3.0
76,25,258,14,BernoulliNB,LC-PFN,3.3583443611860275,0.0476095452904701,0.0027999507728964,25,0.1,25,103,20,4.0,4.0,4.0,4.0
77,25,258,14,BernoulliNB,MMF4,0.2964662120047595,0.0040399255605635,1.901405879563393e-05,25,0.1,25,103,20,1.0,1.0,1.0,1.0
78,25,258,14,BernoulliNB,WBL4,0.3784647708635413,0.0051205304952011,2.6458460988549823e-05,25,0.1,25,103,20,2.0,2.0,2.0,2.0
79,25,258,14,BernoulliNB,POW4,0.4195324533797212,0.0057278001688868,3.890608952055092e-05,25,0.1,25,103,20,3.0,3.0,3.0,3.0
80,27,136,17,GaussianNB,LC-PFN,0.3611404448747635,0.0070720990188419,5.523602521861904e-05,25,0.1,25,52,21,1.0,1.0,1.0,1.0
81,27,136,17,GaussianNB,MMF4,0.5954132878513422,0.0117904470201247,0.0001761460982275,25,0.1,25,52,21,3.0,3.0,3.0,3.0
82,27,136,17,GaussianNB,WBL4,0.7011660633915262,0.0138925680044723,0.0002209853347146,25,0.1,25,52,21,4.0,4.0,4.0,4.0
83,27,136,17,GaussianNB,POW4,0.4582125729703115,0.0090616193674344,0.0001205234515752,25,0.1,25,52,21,2.0,2.0,2.0,2.0
84,21,128,8,Perceptron,LC-PFN,0.4945109132677316,0.0097004687413573,0.0001064508178387,25,0.1,25,29,22,3.0,3.0,3.0,3.0
85,21,128,8,Perceptron,MMF4,0.2768717590181584,0.0054444541523982,3.578102914323593e-05,25,0.1,25,29,22,1.0,1.0,1.0,1.0
86,21,128,8,Perceptron,WBL4,0.2818260205272939,0.0055415770636395,3.695558971390382e-05,25,0.1,25,29,22,2.0,2.0,2.0,2.0
87,21,128,8,Perceptron,POW4,0.5020204205933126,0.0098469733113086,0.0001102954318832,25,0.1,25,29,22,4.0,4.0,4.0,4.0
88,19,60,6,LogisticRegression,LC-PFN,1.244998164474964,0.0245937705039978,0.0006048546638339,25,0.1,25,2,23,4.0,4.0,4.0,4.0
89,19,60,6,LogisticRegression,MMF4,0.0432674222155429,0.0008649717236886,7.531111203842168e-07,25,0.1,25,2,23,2.0,2.0,2.0,2.0
90,19,60,6,LogisticRegression,WBL4,0.0398095362224604,0.0007958733837665,6.344279952326569e-07,25,0.1,25,2,23,1.0,1.0,1.0,1.0
91,19,60,6,LogisticRegression,POW4,0.6306218298270719,0.0125333982511505,0.0001570860717219,25,0.1,25,2,23,3.0,3.0,3.0,3.0
92,29,193,7,PassiveAggressive,LC-PFN,14.2379030585289,0.0333950147032737,0.0011536409147083,25,0.1,25,87,24,4.0,4.0,4.0,4.0
93,29,193,7,PassiveAggressive,MMF4,8.595760301702905,0.0149073201739998,0.0003895376102627,25,0.1,25,87,24,3.0,3.0,3.0,3.0
94,29,193,7,PassiveAggressive,WBL4,0.3100191310594937,0.0006208367838666,6.294392089863543e-07,25,0.1,25,87,24,2.0,2.0,2.0,2.0
95,29,193,7,PassiveAggressive,POW4,0.3100191299295159,0.0006208367815942,6.294392054925802e-07,25,0.1,25,87,24,1.0,1.0,1.0,1.0
96,20,130,1,SVC_poly,LC-PFN,1.1039361357688904,0.0199914947152137,0.0004363034968264,25,0.1,25,44,25,4.0,4.0,4.0,4.0
97,20,130,1,SVC_poly,MMF4,0.0462571899800496,0.0008271921600097,7.540751706525584e-07,25,0.1,25,44,25,3.0,3.0,3.0,3.0
98,20,130,1,SVC_poly,WBL4,0.0432116330962639,0.0007727562106476,6.565382742733403e-07,25,0.1,25,44,25,2.0,2.0,2.0,2.0
99,20,130,1,SVC_poly,POW4,0.0231335357862535,0.0004137787903673,2.137467241669053e-07,25,0.1,25,44,25,1.0,1.0,1.0,1.0
100,32,253,16,ComplementNB,LC-PFN,13.733555376529694,0.065602421760559,0.0045903720892965,25,0.1,25,47,26,4.0,3.0,3.0,3.3333333333333335
101,32,253,16,ComplementNB,MMF4,2.0265368929837027,0.0113574185027189,0.0001704692737155,25,0.1,25,47,26,1.0,1.0,1.0,1.0
