,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Curve_idx,Dataset_idx,Learner_idx,Learner_name,Model,SMAPE,MAE,MSE,Cutoff_idx,Cutoff_percentage,Train_points,Test_points,SMAPE_rank,MAE_rank,MSE_rank,Average_rank,curve_idx
0,0,0,0,0,0,0,260,5,ExtraTree,LC-PFN,2.337617874145508,0.0301459673792123,0.0011629699729382,25,0.1,25,66,4.0,4.0,4.0,4.0,1
1,1,1,1,1,1,0,260,5,ExtraTree,MMF4,0.3361272951835983,0.0041860989230894,2.907326372395814e-05,25,0.1,25,66,1.0,1.0,1.0,1.0,1
2,2,2,2,2,2,0,260,5,ExtraTree,WBL4,1.2863027368643916,0.0162414408388309,0.0002922733628754,25,0.1,25,66,3.0,3.0,3.0,3.0,1
3,3,3,3,3,3,0,260,5,ExtraTree,POW4,1.2863027238580322,0.0162414406722317,0.0002922733574598,25,0.1,25,66,2.0,2.0,2.0,2.0,1
4,4,4,4,4,4,1,14,18,KNN,LC-PFN,5.531468391418457,0.1007438600063324,0.0114429518580436,25,0.1,25,41,4.0,4.0,4.0,4.0,2
5,5,5,5,5,5,1,14,18,KNN,MMF4,1.0156263239053838,0.0195104661508655,0.0005334354783182,25,0.1,25,41,1.0,1.0,1.0,1.0,2
6,6,6,6,6,6,1,14,18,KNN,WBL4,2.6596143843292035,0.0499989510765648,0.0030301498834192,25,0.1,25,41,2.0,2.0,2.0,2.0,2
7,7,7,7,7,7,1,14,18,KNN,POW4,3.0172104618883697,0.0553128396744323,0.0034454899219367,25,0.1,25,41,3.0,3.0,3.0,3.0,2
8,8,8,8,8,8,2,157,20,ens.ExtraTrees,LC-PFN,1.516038417816162,0.0288224387913942,0.0008425191626884,25,0.1,25,26,4.0,4.0,4.0,4.0,3
9,9,9,9,9,9,2,157,20,ens.ExtraTrees,MMF4,0.5534255122354255,0.0106332515042197,0.000141706401229,25,0.1,25,26,2.0,2.0,2.0,2.0,3
10,10,10,10,10,10,2,157,20,ens.ExtraTrees,WBL4,0.6320379620508465,0.0121319825306441,0.0001778101570371,25,0.1,25,26,3.0,3.0,3.0,3.0,3
11,11,11,11,11,11,2,157,20,ens.ExtraTrees,POW4,0.3055966676783623,0.0059225337774787,3.880355807185917e-05,25,0.1,25,26,1.0,1.0,1.0,1.0,3
12,12,12,12,12,12,3,183,19,NearestCentroid,LC-PFN,11.733555793762209,0.0428562089800834,0.0021018355619162,25,0.1,25,81,3.0,3.0,3.0,3.0,4
13,13,13,13,13,13,3,183,19,NearestCentroid,MMF4,27.57655149582053,0.0717897604013679,0.0070101518213424,25,0.1,25,81,4.0,4.0,4.0,4.0,4
14,14,14,14,14,14,3,183,19,NearestCentroid,WBL4,5.999723294887422,0.0197887367877621,0.0004479836588647,25,0.1,25,81,2.0,2.0,2.0,2.0,4
15,15,15,15,15,15,3,183,19,NearestCentroid,POW4,5.999723292753391,0.0197887367807484,0.0004479836588346,25,0.1,25,81,1.0,1.0,1.0,1.0,4
16,16,16,16,16,16,4,162,17,GaussianNB,LC-PFN,1.4893580675125122,0.0292185712605714,0.0008539666887372,25,0.1,25,26,4.0,4.0,4.0,4.0,5
17,17,17,17,17,17,4,162,17,GaussianNB,MMF4,0.2957000683032826,0.0058707790352563,3.5470265622986264e-05,25,0.1,25,26,2.0,2.0,2.0,2.0,5
18,18,18,18,18,18,4,162,17,GaussianNB,WBL4,0.3811891743993311,0.007561459720273,5.834924350625028e-05,25,0.1,25,26,3.0,3.0,3.0,3.0,5
19,19,19,19,19,19,4,162,17,GaussianNB,POW4,0.093932595431169,0.0018657428502741,6.667951261196754e-06,25,0.1,25,26,1.0,1.0,1.0,1.0,5
20,20,20,20,20,20,5,226,9,RidgeClassifier,LC-PFN,22.466020584106445,0.1372159421443939,0.0254920981824398,25,0.1,25,74,1.0,1.0,1.0,1.0,6
21,21,21,21,21,21,5,226,9,RidgeClassifier,MMF4,31.35285938737689,0.1862733439013346,0.0546133952275175,25,0.1,25,74,3.0,3.0,3.0,3.0,6
22,22,22,22,22,22,5,226,9,RidgeClassifier,WBL4,31.908107622961303,0.1887891424667896,0.0563931644840922,25,0.1,25,74,4.0,4.0,4.0,4.0,6
23,23,23,23,23,23,5,226,9,RidgeClassifier,POW4,29.31837618301524,0.1765742358858394,0.047938294310914,25,0.1,25,74,2.0,2.0,2.0,2.0,6
