,Unnamed: 0,Curve_idx,Dataset_idx,Learner_idx,Learner_name,Model,SMAPE,MAE,MSE,Cutoff_idx,Cutoff_percentage,Train_points,Test_points,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank,Scenario
0,36,11,139,2,SVC_rbf,LC-PFN,0.4214636981487274,0.0073701022192835,5.462394983624108e-05,25,0.1,25,25,10,4.0,4.0,4.0,4.0,Flat
1,37,11,139,2,SVC_rbf,MMF4,0.1100097010518036,0.0019298332497133,4.053960201990616e-06,25,0.1,25,25,10,3.0,3.0,3.0,3.0,Flat
2,38,11,139,2,SVC_rbf,WBL4,0.0933032560955658,0.0016370554504805,3.028292204650848e-06,25,0.1,25,25,10,1.0,1.0,1.0,1.0,Flat
3,39,11,139,2,SVC_rbf,POW4,0.1047255776991206,0.001837245951049,3.662955816428309e-06,25,0.1,25,25,10,2.0,2.0,2.0,2.0,Flat
4,56,22,165,1,SVC_poly,LC-PFN,0.2007478382438421,0.0038437542971223,1.5058687495184133e-05,25,0.1,25,107,15,4.0,4.0,4.0,4.0,Flat
5,57,22,165,1,SVC_poly,MMF4,0.0290099159467819,0.0005544825316096,3.078385606280728e-07,25,0.1,25,107,15,2.0,2.0,2.0,2.0,Flat
6,58,22,165,1,SVC_poly,WBL4,0.0039407588020121,7.529705191364486e-05,5.669646029763245e-09,25,0.1,25,107,15,1.0,1.0,1.0,1.0,Flat
7,59,22,165,1,SVC_poly,POW4,0.1356221315041086,0.0025950121777493,6.782120571944997e-06,25,0.1,25,107,15,3.0,3.0,3.0,3.0,Flat
8,60,16,188,2,SVC_rbf,LC-PFN,2.202126383781433,0.0352158658206462,0.0015926476335152,25,0.1,25,40,16,2.0,2.0,2.0,2.0,Flat
9,61,16,188,2,SVC_rbf,MMF4,2.231329810874467,0.0356706499453836,0.0016555896388715,25,0.1,25,40,16,3.0,3.0,3.0,3.0,Flat
