Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
LC-PFN,Flat,0.1,Flat_10%,312,0.6829049438238144,0.013448375277221203,0.0001997930958168581
MMF4,Flat,0.1,Flat_10%,312,0.17813020667866672,0.0034833917410015546,2.998239948731872e-05
WBL4,Flat,0.1,Flat_10%,312,0.1735187934275881,0.0033927772282584786,2.230436616047502e-05
POW4,Flat,0.1,Flat_10%,312,0.26962648996973854,0.005278166845920512,4.397071634499959e-05
LC-PFN,Flat,0.1,Flat_10%,163,0.09992914274334908,0.0019924778025597334,4.180511496088002e-06
MMF4,Flat,0.1,Flat_10%,163,0.015661154027384466,0.000312500986063118,3.158184578853473e-07
WBL4,Flat,0.1,Flat_10%,163,0.01566113981330986,0.0003125007022938923,3.158227992088583e-07
POW4,Flat,0.1,Flat_10%,163,0.01566165229197936,0.0003125109333971439,3.1566940123055476e-07
LC-PFN,Flat,0.1,Flat_10%,1638,0.5895784590393305,0.010525046847760677,0.00015571883704978973
MMF4,Flat,0.1,Flat_10%,1638,0.5141482946864036,0.009168317515225012,0.00012803851252978318
WBL4,Flat,0.1,Flat_10%,1638,0.5141504892597373,0.009168356958838879,0.00012804002323455753
POW4,Flat,0.1,Flat_10%,1638,0.5142947475337964,0.009170949673140073,0.00012810441685314817
LC-PFN,Flat,0.1,Flat_10%,2203,0.14881734969094396,0.0028481814078986645,1.8812706912285648e-05
MMF4,Flat,0.1,Flat_10%,2203,0.7311252714457572,0.013862372521173977,0.0002848329896995883
WBL4,Flat,0.1,Flat_10%,2203,0.17547801611810857,0.0033573141536411,1.9322671380725665e-05
POW4,Flat,0.1,Flat_10%,2203,0.17547801611053576,0.003357314153496401,1.9322671380101076e-05
LC-PFN,Flat,0.1,Flat_10%,1311,0.15092092799022794,0.0027780334930866957,1.04320133686997e-05
MMF4,Flat,0.1,Flat_10%,1311,0.02162611615862081,0.00039984911413470627,2.875565446369878e-06
WBL4,Flat,0.1,Flat_10%,1311,0.02161695467506349,0.0003996803844967441,2.875397626586436e-06
POW4,Flat,0.1,Flat_10%,1311,0.021640962188081824,0.00040012253686867266,2.8748666223037905e-06
LC-PFN,Flat,0.1,Flat_10%,124,5.584857240319252,0.08784548193216324,0.009499180130660534
MMF4,Flat,0.1,Flat_10%,124,2.100535025226103,0.031087538412752413,0.0013481209218922817
WBL4,Flat,0.1,Flat_10%,124,3.335724495016442,0.05092592530870849,0.0033436213363123683
POW4,Flat,0.1,Flat_10%,124,3.335724497316793,0.050925925345405604,0.0033436213404883877
LC-PFN,Flat,0.1,Flat_10%,2403,0.023168935149442405,0.0004186829028185457,2.532456448989251e-07
MMF4,Flat,0.1,Flat_10%,2403,1.6213022749787018,0.030036684434108337,0.001355307614597387
WBL4,Flat,0.1,Flat_10%,2403,0.0020806587695807854,3.7612691118793506e-05,1.4147145331977678e-09
POW4,Flat,0.1,Flat_10%,2403,0.15340813175233683,0.00277745262918531,7.795450429956106e-06
LC-PFN,Flat,0.1,Flat_10%,282,0.08780291536822915,0.0012579560279846191,1.5826350363568054e-06
MMF4,Flat,0.1,Flat_10%,282,3.896288017074204e-07,5.5871299631249375e-09,3.3874458132943276e-17
WBL4,Flat,0.1,Flat_10%,282,7.170166540508967e-05,1.0281756602648072e-06,1.1982027935376586e-12
POW4,Flat,0.1,Flat_10%,282,1.689035880433949e-06,2.4220137588848446e-08,6.244274472053882e-16
LC-PFN,Flat,0.1,Flat_10%,2112,0.2336457371711731,0.004614980425685644,2.1302697859937325e-05
MMF4,Flat,0.1,Flat_10%,2112,6.339469222668755e-06,1.249248257014248e-07,1.769701831045388e-14
